provider_id,holding_company,technology_code,technology_code_desc,area_stationary,area_invehicle
170012,"American Samoa Telecom, LLC",400,4G LTE,115,109
170012,"American Samoa Telecom, LLC",500,5G-NR (7/1 Mbps),155,149
170012,"American Samoa Telecom, LLC",500,5G-NR (35/3 Mbps),148,142
190281,"OTZ Telephone Cooperative, Inc.",400,4G LTE,5503,3221
220001,Pacific Telecom Inc.,300,3G,611,611
220001,Pacific Telecom Inc.,400,4G LTE,700,700
220001,Pacific Telecom Inc.,500,5G-NR (7/1 Mbps),334,334
240047,Americell PA3 Limited Partnership,400,4G LTE,585,277
300085,"Tower Bridge Mobile Holdings, LLC",300,3G,115,69
300085,"Tower Bridge Mobile Holdings, LLC",400,4G LTE,75,42
300188,Standing Rock Sioux Tribe,400,4G LTE,12337,6795
350009,American Samoa Telecommunications Authority,400,4G LTE,763,528
350009,American Samoa Telecommunications Authority,500,5G-NR (35/3 Mbps),253,158
350009,American Samoa Telecommunications Authority,500,5G-NR (7/1 Mbps),337,271
360064,OptimERA Inc.,400,4G LTE,81,37
360114,Union Holding Corp.,300,3G,134741,88980
360114,Union Holding Corp.,400,4G LTE,161185,115470
380126,Tampnet Inc.,400,4G LTE,16611,16611
410192,Inland Cellular Telephone Company,300,3G,12213,5030
410192,Inland Cellular Telephone Company,400,4G LTE,11887,5812
460631,Nex-Tech Wireless,400,4G LTE,84690,71122
460631,Nex-Tech Wireless,500,5G-NR (7/1 Mbps),31448,22345
460632,"VTel Wireless, Inc.",400,4G LTE,6686,3278
460677,Dish Network Corporation,500,5G-NR (35/3 Mbps),749841,564766
460677,Dish Network Corporation,500,5G-NR (7/1 Mbps),865140,685153
